district,category,ytd2022,ytd2021,update
Richmond,HUMAN TRAFFICKING,0,0,NA
Richmond,HUMAN TRAFFICKING - INV SERV,0,0,NA
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,NA
Richmond,LARCENY THEFT,2736,2539,NA
Richmond,LARCENYTHEELT,0,0,NA
Richmond,MOTOR VEHICLE,0,0,NA
Richmond,MOTOR VEHICLE THEFT,299,315,NA
Richmond,RAPE,7,7,NA
Richmond,ROBBERY,70,98,NA
Richmond,TOTAL,3557,3612,NA
Southern,'rrereARSON,0,0,NA
Southern,ARSON,32,32,NA
Southern,ASSAULT,292,231,NA
Southern,BURGLARY,598,711,NA
Southern,HOMICIDE,2,5,NA
Southern,HUMAN TRAFFICKING,0,0,NA
Southern,HUMAN TRAFFICKING - INV SERV,0,0,NA
Southern,HUMAN TRAFFICKING - SEX ACT,2,3,NA
Southern,LARCENY THEFT,3429,2499,NA
Southern,LARCENYTHEELT,0,0,NA
Southern,MOTOR VEHICLE,0,0,NA
Southern,MOTOR VEHICLE THEFT,471,455,NA
Southern,RAPE,32,27,NA
Southern,ROBBERY,228,184,NA
Southern,TOTAL,5086,4147,NA
Taraval,'rrereARSON,251,288,NA
Taraval,ARSON,0,0,NA
Taraval,ASSAULT,2193,1982,NA
Taraval,BURGLARY,4890,6162,NA
Taraval,HOMICIDE,43,44,NA
Taraval,HUMAN TRAFFICKING,14,30,NA
Taraval,HUMAN TRAFFICKING,1,3,NA
Taraval,HUMAN TRAFFICKING - INV SERV,0,0,NA
Taraval,HUMAN TRAFFICKING - SEX ACT,0,0,NA
Taraval,LARCENY THEFT,0,0,NA
Taraval,LARCENYTHEELT,28943,25220,NA
Taraval,MOTOR VEHICLE,5155,4956,NA
Taraval,MOTOR VEHICLE THEFT,0,0,NA
Taraval,RAPE,202,188,NA
Taraval,ROBBERY,2006,1892,NA
Taraval,TOTAL,43698,40765,NA
Tenderloin,'rrereARSON,0,0,NA
Tenderloin,ARSON,22,17,NA
Tenderloin,ASSAULT,413,371,NA
Tenderloin,BURGLARY,168,253,NA
Tenderloin,HOMICIDE,5,10,NA
Tenderloin,HUMAN TRAFFICKING,0,0,NA
Tenderloin,HUMAN TRAFFICKING - INV SERV,0,0,NA
Tenderloin,HUMAN TRAFFICKING - SEX ACT,3,5,NA
Tenderloin,LARCENY THEFT,1428,988,NA
Tenderloin,LARCENYTHEELT,0,0,NA
Tenderloin,MOTOR VEHICLE,0,0,NA
Tenderloin,MOTOR VEHICLE THEFT,176,197,NA
Tenderloin,RAPE,27,25,NA
Tenderloin,ROBBERY,295,240,NA
Tenderloin,TOTAL,2537,2106,NA
